id,seller_id,discs,price,newfrom,usedfrom,edition,form,release_date
58c40880-d952-11eb-923e-d95dfd5674ed,307459e7-d5e6-4f8f-84e8-ee2542e8ae5a,36,13,23,22,,4K,Sat Mar 13 2021 18:20:45 GMT-0800 (Pacific Standard Time)
58c40881-d952-11eb-923e-d95dfd5674ed,89e71b24-e3aa-4acf-98ed-74142b82bc88,35,39,12,6,Special Edition,4K,Sun Aug 30 2020 07:01:09 GMT-0700 (Pacific Daylight Time)
58c40882-d952-11eb-923e-d95dfd5674ed,e3634e4d-bc39-45b1-9116-c3a72177b6bf,0,9,27,15,,Prime Video,Thu Sep 03 2020 00:24:24 GMT-0700 (Pacific Daylight Time)
58c40883-d952-11eb-923e-d95dfd5674ed,1c5d5749-f5aa-4ae4-bb8f-adebe6591611,10,38,12,23,Limited Edition,Blu-ray,Tue Mar 23 2021 23:44:55 GMT-0700 (Pacific Daylight Time)
58c40884-d952-11eb-923e-d95dfd5674ed,84db0507-c3ef-4eee-92ea-7692b2989406,38,40,13,20,Limited Edition,Blu-ray,Thu Feb 25 2021 13:28:23 GMT-0800 (Pacific Standard Time)
58c40885-d952-11eb-923e-d95dfd5674ed,32def8da-94ba-4782-b2e2-4174c35ba5f3,0,42,31,14,Limited Collector's Edition,DVD,Sun Feb 21 2021 22:31:22 GMT-0800 (Pacific Standard Time)
58c40886-d952-11eb-923e-d95dfd5674ed,79e8e840-3e4f-45e6-adaa-be2b166987b4,28,28,39,32,Special Edition,DVD,Sun Apr 11 2021 01:53:15 GMT-0700 (Pacific Daylight Time)
58c40887-d952-11eb-923e-d95dfd5674ed,473978ad-0df0-4c7f-a320-38a212a54d49,9,40,36,24,Limited Collector's Edition,Blu-ray,Wed Nov 04 2020 05:00:35 GMT-0800 (Pacific Standard Time)
58c40888-d952-11eb-923e-d95dfd5674ed,fb2a5e5a-ae7d-4801-b5a4-e45448389491,35,10,21,8,,Blu-ray,Fri May 28 2021 16:53:27 GMT-0700 (Pacific Daylight Time)
58c40889-d952-11eb-923e-d95dfd5674ed,6bd51ff7-a744-4523-9403-d53039cbda4e,13,35,17,4,,DVD,Thu Nov 12 2020 05:30:32 GMT-0800 (Pacific Standard Time)
